SA2_NAME16,population
Jamisontown - South Penrith,17684
Kingswood - Werrington,20157
Mulgoa - Luddenham - Orchard Hills,9914
Penrith,13630
Warragamba - Silverdale,5299
Richmond - Clarendon,14136
Windsor - Bligh Park,15746
Yarramundi - Londonderry,7587
Erskine Park,6595
St Clair,20377
Colyton - Oxley Park,11922
St Marys - North St Marys,16533
Homebush Bay - Silverwater,19594
Rookwood Cemetery,3
Auburn - Central,18070
Auburn - North,11971
Auburn - South,8897
Berala,9312
Lidcombe,20936
Regents Park,5294
Carlingford,28396
Ermington - Rydalmere,22020
Oatlands - Dundas Valley,18448
Chester Hill - Sefton,19060
Fairfield - East,15972
Granville - Clyde,21894
Greystanes - Pemulwuy,27324
Guildford - South Granville,21848
Guildford West - Merrylands West,21520
Merrylands - Holroyd,29836
Smithfield Industrial,35
Yennora Industrial,23
North Parramatta,23066
North Rocks,8224
Northmead,21222
Parramatta - Rosehill,30741
Toongabbie - Constitution Hill,22602
Winston Hills,11119
Pendle Hill - Girraween,13412
Wentworthville - Westmead,16322
Epping - North Epping,28110
Pennant Hills - Cheltenham,21178
Eastwood - Denistone,26256
Gladesville - Huntleys Point,15070
Hunters Hill - Woolwich,10819
Macquarie Park - Marsfield,22784
North Ryde - East Ryde,12778
West Ryde - Meadowbank,20337
Putney,4323
Ryde,28506
Ashcroft - Busby - Miller,17751
Austral - Greendale,9168
Cobbitty - Leppington,18505
Badgerys Creek,62
Cecil Hills,7296
Green Valley,13031
Hinchinbrook,12825
Hoxton Park - Carnes Hill - Horningsea Park,12000
West Hoxton - Middleton Grange,15740
Bonnyrigg Heights - Bonnyrigg,16636
Bossley Park - Abbotsbury,19650
Cabramatta - Lansvale,25844
Cabramatta West - Mount Pritchard,17810
Canley Vale - Canley Heights,21546
Edensor Park,10242
Fairfield,18363
Fairfield - West,19791
Greenfield Park - Prairiewood,8618
Horsley Park - Kemps Creek,4637
Smithfield - Wetherill Park,18608
St Johns Park - Wakeley,11285
Wetherill Park Industrial,46
Casula,16223
Chipping Norton - Moorebank,19319
Holsworthy - Wattle Grove,21504
Liverpool,28680
Lurnea - Cartwright,12122
Prestons - Edmondson Park,18255
Warwick Farm,6135
Gymea - Grays Point,17986
Miranda - Yowie Bay,18857
Sylvania - Taren Point,16591
Caringbah,12246
Caringbah South,12495
Cronulla - Kurnell - Bundeena,24583
Lilli Pilli - Port Hacking - Dolans Bay,3264
Woolaware - Burraneer,8084
Heathcote - Waterfall,6674
Illawong - Alfords Point,10836
Menai - Lucas Heights - Woronora,21692
Oyster Bay - Como - Jannali,21974
Royal National Park,28
Sutherland - Kirrawee,21499
Engadine,17434
Loftus - Yarrawarrah,7435
Woronora Heights,3749
Braidwood,3945
Karabar,8615
Queanbeyan,11235
Queanbeyan - East,5049
Queanbeyan Region,17435
Queanbeyan West - Jerrabomberra,13193
Bombala,2425
Cooma,6890
Cooma Region,3334
Jindabyne - Berridale,7091
Batemans Bay,7842
Batemans Bay - South,8570
Bega - Tathra,8607
Bega-Eden Hinterland,8961
Broulee - Tomakin,3317
Deua - Wadbilliga,27
Eden,3281
Eurobodalla Hinterland,3366
Merimbula - Tura Beach,10835
Moruya - Tuross Head,8096
Narooma - Bermagui,9171
Goulburn,23320
Goulburn Region,12862
Yass,6656
Yass Region,11913
Young,10802
Young Region,7450
Bathurst,24541
Bathurst - East,11472
Bathurst Region,7017
Oberon,4753
Condobolin,6803
Cowra,9300
Cowra Region,5542
Forbes,10394
Grenfell,3680
Parkes (NSW),11258
Parkes Region,3435
West Wyalong,6004
Lithgow,13095
Lithgow Region,8420
Mudgee,12010
Mudgee Region - East,3503
Mudgee Region - West,10544
Wollangambe - Wollemi,0
Blayney,7430
Orange,19457
Orange - North,20298
Orange Region,11806
Grafton,19075
Grafton Region,15446
Maclean - Yamba - Iluka,16440
Bellingen,5936
Coffs Harbour - North,17902
Coffs Harbour - South,10535
Coramba - Nana Glen - Bucca,3862
Dorrigo,3253
Korora - Emerald Beach,9010
Sawtell - Boambee,19947
Urunga,4758
Woolgoolga - Arrawarra,12740
Bourke - Brewarrina,4223
Cobar,4772
Coonamble,4278
Nyngan - Warren,5103
Walgett - Lightning Ridge,6683
Broken Hill,18027
Far West,2571
Coonabarabran,8075
Dubbo - East,10702
Dubbo - South,17380
Dubbo - West,9043
Dubbo Region,5728
Gilgandra,4452
Narromine,6694
Wellington,9064
Branxton - Greta - Pokolbin,10404
Cessnock,22426
Cessnock Region,8062
Dungog,9114
Kurri Kurri - Abermain,18057
Singleton,16521
Singleton Region,5037
Maitland,6812
Maitland - East,28091
Maitland - North,7793
Maitland - West,23179
Thornton - Millers Forest,10259
Anna Bay,5913
Lemon Tree Passage - Tanilba Bay,6882
Nelson Bay Peninsula,21447
Raymond Terrace,14107
Seaham - Woodville,5510
Tea Gardens - Hawks Nest,5161
Williamtown - Medowie - Karuah,14016
Muswellbrook,12403
Muswellbrook Region,4065
Scone,5964
Scone Region,8445
Dapto - Avondale,24045
Horsley - Kembla Grange,8985
Port Kembla Industrial,11
Unanderra - Mount Kembla,16018
Berkeley - Lake Heights - Cringila,14336
Port Kembla - Warrawong,10114
Windang - Primbee,4425
Illawarra Catchment Reserve,5
Albion Park - Macquarie Pass,14653
Albion Park Rail,7068
Kiama,7888
Kiama Downs - Minnamurra,6044
Kiama Hinterland - Gerringong,8027
Shellharbour - Flinders,17487
Shellharbour - Oak Flats,10311
Warilla,20992
Balgownie - Fairy Meadow,22018
Corrimal - Tarrawanna - Bellambi,15950
Figtree - Keiraville,21976
Helensburgh,9045
Thirroul - Austinmer - Coalcliff,11809
Woonona - Bulli - Russell Vale,20271
Wollongong - East,14649
Wollongong - West,17574
Bulahdelah - Stroud,4790
Forster,14607
Forster-Tuncurry Region,6231
Tuncurry,6267
Kempsey,15058
Kempsey Region,9194
Macksville - Scotts Head,4883
Nambucca Heads,6837
Nambucca Heads Region,7798
South West Rocks,5235
Lord Howe Island,412
Laurieton - Bonny Hills,16934
Port Macquarie - East,28670
Port Macquarie - West,17577
Port Macquarie Region,5398
Wauchope,11350
Gloucester,5083
Old Bar - Manning Point - Red Head,10729
Taree,20881
Taree Region,12615
Wingham,5453
Albury - East,15413
Albury - North,10046
Albury - South,10536
Albury Region,11772
Lavington,14737
Hay,3003
Wentworth - Buronga,6082
Wentworth-Balranald Region,3652
Corowa,5508
Corowa Region,6841
Deniliquin,7515
Deniliquin Region,6847
Moama,5972
Tocumwal - Finley - Jerilderie,9859
Armidale,24114
Armidale Region - North,4565
Armidale Region - South,6137
Walcha,3282
Glen Innes,8942
Inverell,11895
Inverell Region - East,5297
Inverell Region - West,6057
Tenterfield,6667
Moree,8474
Moree Region,5635
Narrabri,7372
Narrabri Region,4971
Gunnedah,9468
Gunnedah Region,4221
Quirindi,7873
Tamworth - East,20788
Tamworth - North,15410
Tamworth - West,5780
Tamworth Region,18839
Belmont - Bennetts Green,18274
Belmont South - Blacksmiths,5768
Charlestown - Dudley,24689
Glendale - Cardiff - Hillsborough,24053
Mount Hutton - Windale,9124
Redhead,3616
Swansea - Caves Beach,11793
Valentine - Eleebana,12466
Warners Bay - Boolaroo,13753
Bolton Point - Teralba,8749
Bonnells Bay - Silverwater,8941
Edgeworth - Cameron Park,14552
Morisset - Cooranbong,15311
Toronto - Awaba,13801
Wangi Wangi - Rathmines,9083
West Wallsend - Barnsley - Killingworth,6638
Adamstown - Kotara,16213
Beresfield - Hexham,8532
Hamilton - Broadmeadow,12277
Lambton - New Lambton,17006
Maryland - Fletcher - Minmi,14031
Mayfield - Warabrook,15314
Merewether - The Junction,14315
Newcastle - Cooks Hill,11266
Newcastle Port - Kooragang,17
Shortland - Jesmond,11970
Stockton - Fullerton Cove,7567
Wallsend - Elermore Vale,20280
Waratah - North Lambton,12456
Wickham - Carrington - Tighes Hill,8327
Ballina,17435
Ballina Region,17130
Bangalow,5912
Brunswick Heads - Ocean Shores,8493
Byron Bay,10000
Evans Head,5289
Lennox Head - Skennars Head,7958
Mullumbimby,8195
Casino,12441
Casino Region,7066
Goonellabah,13405
Kyogle,7424
Lismore,15574
Lismore Region,15384
Kingscliff - Fingal Head,13514
Murwillumbah,9137
Murwillumbah Region,9885
Pottsville,13497
Tweed Heads,19837
Banora Point,15961
Terranora - North Tumblegum,3328
Tweed Heads South,8299
Griffith (NSW),19748
Griffith Region,13238
Leeton,10313
Narrandera,6165
Tumbarumba,3529
Tumut,6391
Tumut Region,4766
Cootamundra,7673
Gundagai,3636
Junee,6411
Temora,6857
Wagga Wagga - East,16994
Wagga Wagga - North,4524
Wagga Wagga - South,21869
Wagga Wagga - West,12573
Wagga Wagga Region,15107
Berry - Kangaroo Valley,8927
Callala Bay - Currarong,3683
Culburra Beach,5044
Ettrema - Sassafras - Budawang,52
Huskisson - Vincentia,4290
North Nowra - Bomaderry,16162
Nowra,20547
St Georges Basin - Erowal Bay,14219
Sussex Inlet - Berrara,4394
Tomerong - Wandandian - Woollamia,3469
Ulladulla,15671
Ulladulla Region,5159
Bowral,13280
Hill Top - Colo Vale,6192
Mittagong,9240
Moss Vale - Berrima,10050
Robertson - Fitzroy Falls,3582
Southern Highlands,6715
Migratory - Offshore - Shipping (NSW),0
Brunswick,27123
Brunswick East,11766
Brunswick West,14629
Coburg,27733
Pascoe Vale South,10402
Alphington - Fairfield,9415
Northcote,26334
Thornbury,19522
Ascot Vale,15667
Essendon - Aberfeldie,28954
Flemington,10662
Moonee Ponds,15084
Carlton,20575
Docklands,11944
East Melbourne,5356
Flemington Racecourse,103
Kensington (Vic.),11526
Melbourne,41473
North Melbourne,22086
Parkville,7898
South Yarra - West,6607
Southbank,20470
West Melbourne,3
Albert Park,16540
Elwood,16509
Port Melbourne,17370
Port Melbourne Industrial,27
South Melbourne,12357
St Kilda,28141
St Kilda East,17625
Armadale,9658
Prahran - Windsor,21391
South Yarra - East,22677
Toorak,14072
Abbotsford,8842
Carlton North - Princes Hill,9020
Collingwood,9144
Fitzroy,11464
Fitzroy North,13211
Richmond (Vic.),32848
Yarra - North,9705
Ashburton (Vic.),8217
Balwyn,16700
Balwyn North,21340
Camberwell,22567
Glen Iris - East,17190
Hawthorn,24700
Hawthorn East,16289
Kew,26314
Kew East,6825
Surrey Hills (West) - Canterbury,17219
Bulleen,11648
Doncaster,21864
Templestowe,17620
Templestowe Lower,14375
Doncaster East (North),15361
Doncaster East (South),14725
Blackburn,22480
Blackburn South,11274
Box Hill,20973
Box Hill North,18359
Burwood,12937
Burwood East,10807
Surrey Hills (East) - Mont Albert,10426
Beaumaris,14172
Brighton (Vic.),24297
Brighton East,16701
Cheltenham - Highett (West),11439
Hampton,18732
Sandringham - Black Rock,17396
